title,artist,category,youtube_url,clip_start
Aaj Jaane Ki Zid Na Karo,Farida Khanum,ghazal,,30
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,ghazal,,20
Hoshwalon Ko Khabar Kya,Jagjit Singh,ghazal,,15
Ranjish Hi Sahi,Mehdi Hassan,ghazal,,30
Chupke Chupke Raat Din,Ghulam Ali,ghazal,,15
Woh Kagaz Ki Kashti,Jagjit Singh,ghazal,,15
Baat Niklegi Toh Phir,Jagjit Singh,ghazal,,15
Hangama Hai Kyon Barpa,Ghulam Ali,ghazal,,20
Dil-E-Nadaan,Suraiya,ghazal,,15
Gulon Mein Rang Bhare,Mehdi Hassan,ghazal,,15
Tum Hi Ho,Arijit Singh,sad_romantic,,40
Agar Tum Saath Ho,Alka Yagnik,sad_romantic,,30
Channa Mereya,Arijit Singh,sad_romantic,,15
Kabira,Tochi Raina,sad_romantic,,15
Bekhayali,Sachet Tandon,sad_romantic,,30
Duaa,Arijit Singh,sad_romantic,,15
Hamari Adhuri Kahani,Arijit Singh,sad_romantic,,20
Main Jahaan Rahoon,Rahat Fateh Ali Khan,sad_romantic,,15
Phir Le Aya Dil,Rekha Bhardwaj,sad_romantic,,20
Tune Jo Na Kaha,Mohit Chauhan,sad_romantic,,15
Kar Gayi Chull,Badshah,party,,15
Kala Chashma,Badshah,party,,15
Abhi Toh Party Shuru Hui Hai,Badshah,party,,15
Garmi,Badshah,party,,15
Aankh Marey,Neha Kakkar,party,,15
Bom Diggy Diggy,Zack Knight,party,,15
High Rated Gabru,Guru Randhawa,party,,15
Makhna,Yo Yo Honey Singh,party,,15
Saturday Saturday,Badshah,party,,15
Badtameez Dil,Benny Dayal,party,,15
Nashe Si Chadh Gayi,Arijit Singh,upbeat,,15
Kun Faya Kun,A.R. Rahman,sufi,,60
Khwaja Mere Khwaja,A.R. Rahman,sufi,,45
Arziyan,Javed Ali,sufi,,20
Maula Mere Maula,Roop Kumar Rathod,sufi,,30
Bhar Do Jholi Meri,Adnan Sami,sufi,,60
Tu Maane Ya Na Maane,Wadali Brothers,sufi,,30
Piya Haji Ali,A.R. Rahman,sufi,,30
Nit Khair Mansan,Nooran Sisters,sufi,,15
Chap Tilak,Abida Parveen,sufi,,30
Afreen Afreen,Rahat Fateh Ali Khan,sufi,,20
Chalo Rehmat Ka Maula,Rahat Fateh Ali Khan,sufi,,60
Dil Chahta Hai,Shankar Mahadevan,upbeat,,15
It's The Time To Disco,Shaan,upbeat,,15
Gallan Goodiyaan,Farhan Akhtar,upbeat,,15
Matargashti,Mohit Chauhan,upbeat,,15
Subha Hone Na De,Mika Singh,party,,15
Ghungroo,Arijit Singh,upbeat,,30
Jai Jai Shivshankar,Vishal Dadlani,party,,15
London Thumakda,Labh Janjua,upbeat,,15
Hoton Se Chhu Lo Tum,Jagjit Singh,ghazal,,20
Ye Dil Ye Pagal Dil,Ghulam Ali,ghazal,,20
Chamakte Chaand Ko,Ghulam Ali,ghazal,,20
Sarakti Jaye Hai Rukh Se Naqab,Asha Bhosle,ghazal,,20
Aahista Aahista,Jagjit Singh,ghazal,,20
Tum Ko Dekha Toh Yeh Khayal Aaya,Jagjit Singh,ghazal,,20
Mera Piya Ghar Aaya,Nusrat Fateh Ali Khan,sufi,,30
Dam Mast Qalandar,Nusrat Fateh Ali Khan,sufi,,30
Afreen Afreen,Nusrat Fateh Ali Khan,sufi,,30
Sanson Ki Mala Pe,Nusrat Fateh Ali Khan,sufi,,30
Allah Hoo,Nusrat Fateh Ali Khan,sufi,,30
Tajdar-e-Haram,Atif Aslam,sufi,,30
Mann Kunto Maula,Nusrat Fateh Ali Khan,sufi,,30
Ranjha,B Praak,sufi,,15
Iktara,Amit Trivedi,sufi,,15
Kinna Sohna,Nusrat Fateh Ali Khan,sufi,,30
Laal Ishq,Arijit Singh,sad_romantic,,15
Humdard,Arijit Singh,sad_romantic,,15
Samjhawan,Arijit Singh,sad_romantic,,15
Judaai,Arijit Singh,sad_romantic,,15
Zaalima,Arijit Singh,sad_romantic,,15
Enna Sona,Arijit Singh,sad_romantic,,15
Soch Na Sake,Arijit Singh,sad_romantic,,15
Tere Sang Yaara,Atif Aslam,sad_romantic,,15
Pal,Arijit Singh,sad_romantic,,15
Raabta,Arijit Singh,sad_romantic,,15
Dilbar,Neha Kakkar,party,,15
Swag Se Swagat,Vishal Dadlani,party,,15
Baby Ko Bass Pasand Hai,Vishal Dadlani,party,,15
Chhote Chhote Peg,Yo Yo Honey Singh,party,,15
Patola,Guru Randhawa,party,,15
O Saki Saki,Neha Kakkar,party,,15
Lungi Dance,Yo Yo Honey Singh,party,,15
Munna Badnaam Hua,Badshah,party,,15
Jhoome Jo Pathaan,Arijit Singh,party,,15
Fevicol Se,Mamta Sharma,party,,15
Naacho Naacho,Rahul Sipligunj,upbeat,,15
Chaiyya Chaiyya,Sukhwinder Singh,upbeat,,15
Kesariya,Arijit Singh,upbeat,,15
Balam Pichkari,Vishal Dadlani,upbeat,,15
Senorita,Farhan Akhtar,upbeat,,15
Zinda,Siddharth Mahadevan,upbeat,,15
Ilahi,Arijit Singh,upbeat,,15
Kar Har Maidaan Fateh,Sukhwinder Singh,upbeat,,15
